"","log2FoldChange","padj","Factor"
"ko:K02877",1.09873120559455,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.244599079256471,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02882",-0.21083956922184,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.623035390805641,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02889",0.0748938982642422,0.958536259193906,"Menthol_Menthol_vs_Control"
"ko:K02896",-0.142792266749912,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.599462006217853,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.15956437111273,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02905",0.0657337912645108,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02908",0.702627184496596,0.858058869367414,"Menthol_Menthol_vs_Control"
"ko:K02910",0.398079779246581,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.060586162385465,0.968264986735347,"Menthol_Menthol_vs_Control"
"ko:K02918",-0.315356716019416,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.222065284298433,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02923",-0.449538218547144,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.546816968611198,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02929",-0.706711670913829,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02932",-0.13923270981307,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02936",-0.433980881401274,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02937",1.01244643073628,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.486755821330775,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02941",-0.391244885635671,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.339067479688188,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02949",0.360898435403827,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02951",0.613081064495544,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02953",0.632315497878814,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02955",0.112313601444877,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02958",0.22369516939098,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02962",-0.424440016860278,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02966",0.413790081574664,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02969",-1.0054358585414,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02973",0.968056718574342,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02975",-0.748351500910165,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02976",-1.4950742931094,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02978",-0.597175903709091,0.657231737373881,"Menthol_Menthol_vs_Control"
"ko:K02980",-1.1641060709149,0.484154272507485,"Menthol_Menthol_vs_Control"
"ko:K02983",0.513524877178617,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02984",0.837326891343485,0.700361570582975,"Menthol_Menthol_vs_Control"
"ko:K02985",-0.304791361597225,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02987",1.24883083986375,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02991",-0.103458208027402,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02992",-0.263399401861949,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K02993",-0.77526875550775,0.253400637130568,"Menthol_Menthol_vs_Control"
"ko:K02995",-0.0211684763945992,0.993464427214682,"Menthol_Menthol_vs_Control"
"ko:K03007",-0.357121461218888,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03008",0.748830884054165,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03031",0.206376895236189,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03083",0.0508990922412652,0.953146860332192,"Menthol_Menthol_vs_Control"
"ko:K03113",-0.312391234073247,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03231",0.626834431241946,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03232",-1.96243448830167,0.425967449971102,"Menthol_Menthol_vs_Control"
"ko:K03233",-0.299401434440631,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03234",0.868193913552684,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03236",-0.791026544671822,0.486552830267785,"Menthol_Menthol_vs_Control"
"ko:K03246",0.337539305122919,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03247",-0.311385970369432,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03283",-0.343363623518404,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03521",0.196260570002033,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03522",-0.769253900868596,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03626",-0.0983653844690975,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03661",-1.49039857907308,0.90789791293508,"Menthol_Menthol_vs_Control"
"ko:K03872",0.385340991602988,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03873",0.0021714242520403,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K03936",0.293683961002354,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K03942",-0.0142784020173675,0.998708907318586,"Menthol_Menthol_vs_Control"
"ko:K03943",0.80804442158732,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04043",0.65541261708305,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04079",-0.227240152635403,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04345",0.946071788136917,0.945079371551781,"Menthol_Menthol_vs_Control"
"ko:K04348",1.48825732319334,0.945079371551781,"Menthol_Menthol_vs_Control"
